,period,상의(여성),하의(여성),아우터(여성),수트(여성),운동복(여성),운동화(여성),구두(여성),상의(남성),하의(남성),아우터(남성),수트(남성),운동복(남성),운동화(남성),구두(남성),남성가방/지갑,시계(남성),여성가방/지갑,패션잡화,샌들(남성),샌들(여성),제철 채소,제철 과일,제철 해산물,다이어트 보조제,단백질 보충제,샐러드/닭가슴살,아이스크림/빙수,영양제,비타민,축산선물세트,쇠고기,채식푸드,캠핑,보온/보냉용품,선풍기커버,압축팩,제습/방향/탈취,해충퇴치용품,그릇/홈세트,조리기구,5G 휴대폰,스마트워치,태블릿,블루투스 이어폰,액션캠/캠코더,DSLR 카메라,콘솔,닌텐도,초경량 노트북,조립/반조립PC,키보드,마우스,모니터,레이저프린터,컬러레이저복합기,SSD,외장SSD,그래픽카드,신생아의류,임산부용품,유아침구,외출용품,분유,반려캐리어,침대/해먹,계단/스텝,울타리,기타애완용품,건강관리용품,재활운동용품,당뇨관리용품,냉온/찜질용품,의료용품,구급/응급용품,석션기/네블라이저,거즈/붕대/솜류,핀셋/포셉/겸자류,의료용가구,남성골프웨어,인원별텐트,등산화/트레킹화,테니스의류,일반자전거,스키장비,축구화,글러브,탁구라켓,모형/프라모델/피규어,아이돌굿즈,사무용품,필기도구,전략게임,기타,백화점/마트,카페/베이커리,치킨,게임/E머니,뷰티/헬스,편의점,콘서트,국내항공권,제주여행,해외항공권,고용률,물가,평균기온(°C),생활물가총지수,출생아수(명)
0,2017-08-01,38.65592,46.27973,21.78823,9.80445,26.39604,12.53241,14.87705,31.35923,25.15118,4.83268,23.09216,24.57371,36.11626,19.86671,27.72191,17.6017,37.22657,2.54874,28.29838,6.65587,7.84201,0.63626,0.06352,3.30312,3.74334,6.15626,2.81911,1.02906,1.6531,3.3139,0.44881,2.31548,10.91698,9.98876,10.56347,3.65061,2.27744,10.80241,13.85295,11.18974,35.30442,12.96968,24.19716,10.28714,9.35896,67.52793,8.7207,1.54745,43.95345,6.62105,3.91912,3.52764,7.01096,2.22072,0.82802,6.0358,0.46907,23.60071,20.33089,10.71166,8.73596,78.80215,30.76172,6.7481,1.97023,1.6331,2.2387,12.50116,4.88864,7.2675,7.20213,2.4965,6.70631,6.92772,4.07693,2.53694,6.70631,17.26429,16.20706,24.51739,13.4497,8.18725,28.48045,1.55002,17.19477,43.02931,18.31683,9.37947,9.27594,0.00025,14.38061,22.5474,5.57988,2.11147,0.03973,0.06304,0.58584,4.26959,0.01271,0.15428,75.45386,9.94807,38.47517,61.2,98.058,28.6,98.058,958.2157474852585
1,2017-08-02,39.44673,47.3739,21.66338,9.67515,26.59196,12.39745,15.23381,30.93975,24.99421,4.95249,22.96363,24.64789,35.52459,19.03833,26.59656,17.58176,38.4025,2.6201,27.76878,6.52515,5.32341,0.72542,0.03894,3.36887,10.63654,5.36942,15.05022,0.99238,1.69387,3.15345,0.42371,2.32582,12.41312,10.13794,10.88934,3.9189,2.28614,11.03306,13.7695,11.01838,33.61001,13.28968,25.05083,10.55608,15.9798,65.57788,8.18957,1.4294,40.2332,6.42018,4.07606,3.4906,7.17047,2.35057,0.85757,5.94939,0.43712,24.35488,20.50179,10.32356,8.67415,81.72209,28.25014,6.33294,5.83114,6.78456,10.67974,12.62473,4.73147,7.68352,6.89257,2.81163,6.79378,6.89706,4.11418,2.94884,6.79378,17.36924,17.24529,24.17435,13.38445,8.44377,28.13271,1.94919,17.58157,39.12306,20.009,9.38481,18.5713,0.00025,13.84723,21.83429,5.47996,5.62622,5.81233,9.61821,0.63091,9.69655,3.92829,21.83723,52.82268,20.92312,53.01418,61.20645161290323,98.06167741935484,30.0,98.06167741935484,959.2072493929934
2,2017-08-03,36.39574,45.79695,20.5046,9.94737,24.61018,12.25882,14.20768,28.96881,25.09232,4.61961,22.69453,23.06744,34.30741,18.49895,26.05737,16.62456,37.37929,2.52297,25.63439,6.5555,7.5558,0.66378,0.02411,3.27382,11.39333,5.08791,56.60659,0.96168,1.58489,3.02705,0.44281,2.12941,9.27606,9.79813,10.63136,3.90357,2.13656,10.67558,12.37586,11.53246,34.01672,13.43288,25.88935,10.66045,14.8089,65.20663,9.60789,1.50638,46.87218,6.20158,4.03167,3.4937,7.12914,2.34161,0.91549,5.94258,0.42623,24.29554,20.40929,10.33634,8.91137,78.32691,27.29915,6.17642,7.98858,5.7607,10.10089,12.38226,4.717,7.21022,6.85305,2.80345,6.58345,6.69265,3.9618,2.70544,6.58345,18.36627,16.17662,22.28954,12.3527,9.12783,27.87838,1.46708,15.73413,39.7529,20.51305,10.04674,22.92504,2.82516,13.39809,21.13673,5.20594,6.75409,9.09961,15.58669,3.33483,6.32172,6.83956,31.38981,84.10843,23.02298,53.01418,61.21290322580646,98.06535483870968,30.2,98.06535483870968,960.1987513007284
3,2017-08-04,33.19493,39.35282,17.26821,9.38931,21.52921,10.82556,13.96481,26.01462,22.29011,4.45227,19.75445,20.24321,31.22277,16.36573,23.27494,16.95692,34.36793,2.223,21.38424,5.29809,4.92272,0.60984,0.02457,2.80787,12.46392,4.14416,50.24801,0.85074,1.42517,2.7111,0.33331,1.71593,7.60617,8.84,10.482,3.97064,1.96335,9.50419,11.38279,10.58593,32.97883,13.35627,23.23266,9.53866,13.47191,69.31298,8.23971,1.39005,44.42896,6.04577,3.92131,3.18817,6.98607,2.38396,0.95175,5.22885,0.70143,23.77057,18.66674,9.5378,8.11237,77.84754,23.99227,5.3535,7.77798,5.31731,8.92923,11.15126,3.99528,6.53921,6.55832,2.52491,5.97805,6.08172,3.52837,2.54496,5.97805,15.93493,14.9196,19.77876,11.02734,8.01624,26.42402,1.92846,14.4163,38.39631,18.10981,9.78007,19.15088,6.30648,12.83156,19.52181,5.19657,6.28196,12.15208,18.82311,0.9013,4.79478,10.08136,27.25636,45.87167,17.28643,42.02127,61.21935483870968,98.06903225806452,30.3,98.06903225806452,961.1902532084634
4,2017-08-05,32.35637,39.49279,17.06793,9.35302,21.43219,10.79291,14.52958,26.21549,21.11499,4.66632,20.18422,20.7531,30.63674,16.41742,23.74833,14.66365,34.12314,2.00893,20.58939,4.56122,6.0103,0.47774,0.03153,2.3512,12.16471,3.07813,43.53797,0.71045,1.14894,2.03486,0.28089,1.78829,7.46138,8.08344,10.25118,2.61387,1.61798,7.57534,11.2743,9.33378,32.52226,11.49462,20.21579,8.50237,12.68583,60.76276,8.47086,1.40887,36.48207,5.38467,3.26189,2.67867,6.37825,1.93564,0.70596,4.20621,0.46108,21.13772,17.1092,7.70275,7.20519,70.54974,19.68,5.32385,8.7046,5.33931,7.45071,10.37955,3.41419,5.46722,4.38977,2.5516,4.7166,4.79777,2.67506,1.9338,4.7166,12.66398,14.76067,19.00632,10.06949,9.34159,25.3,1.32192,15.1067,35.73158,13.55535,9.98942,19.41709,5.73295,10.43612,18.78255,5.24887,4.43278,9.43014,20.23117,2.56872,5.45613,8.82278,21.47724,29.58219,14.23616,30.49645,61.2258064516129,98.07270967741935,31.4,98.07270967741935,962.1817551161985
5,2017-08-06,36.51457,45.00219,20.71334,10.36931,26.20575,12.79865,17.72649,31.77241,24.7875,5.57202,24.33727,25.73073,35.4667,19.57833,28.81518,17.77452,40.31966,2.38705,25.89032,5.25685,5.26617,0.5592,0.02272,2.85289,11.52934,4.37952,49.47032,0.79428,1.32842,2.45871,0.32435,1.56088,8.0888,9.91339,13.21113,3.38807,1.87827,8.82756,12.15054,11.40698,32.77833,12.92018,22.6686,8.72477,14.43066,66.92042,8.74789,1.51237,37.31871,6.09035,3.47976,2.93705,6.22763,1.74889,0.51407,4.42734,0.52062,21.39618,17.86242,8.23777,7.8584,74.4738,24.58687,5.43588,9.99625,5.86224,8.84787,12.73897,3.80503,6.09665,4.6664,2.84607,5.28834,5.54119,2.66151,2.16382,5.28834,12.87388,17.3005,22.93451,13.06451,10.36767,28.12862,1.47744,17.10144,42.65382,15.31053,11.08788,21.80471,3.3418,11.46976,21.74453,5.44756,6.45245,8.67154,18.60595,2.02794,5.62147,7.90744,18.53304,25.35438,11.02095,34.04255,61.23225806451613,98.0763870967742,29.8,98.0763870967742,963.1732570239334
6,2017-08-07,38.08418,46.37751,21.07814,11.16328,29.0958,13.30445,16.3099,32.91672,25.47912,5.45779,24.89557,26.09767,36.6829,19.96948,29.82135,18.00717,41.07117,2.76794,26.8484,5.62722,6.12478,0.6979,0.02225,3.43962,12.38128,6.34547,52.31187,1.02528,1.80125,3.46665,0.43985,2.21211,8.0888,11.47754,15.01697,4.12969,2.33722,11.95149,12.75139,13.55911,36.31207,16.42013,26.18209,10.55583,15.73806,80.76576,8.87536,1.70185,41.60186,7.06307,4.32209,3.88606,7.49904,2.51605,0.94185,6.39641,0.4727,24.92762,24.28906,10.59826,9.5736,78.43004,31.45574,6.20526,9.30831,5.51531,9.00827,12.94413,4.97342,8.32203,7.75538,3.35191,7.62506,7.9115,3.89746,3.17619,7.62506,18.78607,15.97279,24.65419,12.64198,10.17528,29.51548,2.27579,18.06957,43.63493,19.60396,10.3728,22.09589,3.3055,14.46525,22.50288,7.42462,5.94098,9.95032,13.94045,1.80261,6.91499,9.80167,24.83286,24.79482,9.81701,38.47517,61.23870967741936,98.08006451612904,29.2,98.08006451612904,964.1647589316684
7,2017-08-08,38.01729,46.69557,19.72851,11.82341,28.39973,13.3571,17.67652,32.0884,25.22335,5.66364,25.5931,25.53499,36.94316,21.51723,28.68959,19.91491,40.77855,2.82114,25.32346,6.02172,6.41099,0.84651,0.03292,3.26024,13.24485,6.51622,51.28492,1.06822,1.8801,3.52959,0.48494,3.28716,7.85714,11.61311,13.90359,3.79433,2.39581,10.80171,14.48719,13.3864,37.53466,16.47847,27.09902,10.9825,14.73161,84.1821,8.89576,1.74633,41.48748,7.07984,4.47201,3.83609,7.35449,2.54124,1.00128,6.40934,0.5395,24.79206,24.04151,10.3028,9.62563,77.68417,29.3268,6.58088,8.20853,5.51193,8.67351,12.29833,5.08923,9.2847,7.36349,2.94121,7.59801,7.86305,4.12772,3.13473,7.59801,18.15637,16.24731,24.07072,13.54757,10.21804,30.13084,2.04769,18.03472,44.93095,20.26102,10.43991,23.35764,5.75844,15.21103,22.77639,8.26892,6.36065,11.36458,18.07355,2.2082,6.32172,11.82303,20.16585,23.58865,10.03687,31.20567,61.245161290322585,98.08374193548389,28.2,98.08374193548389,965.1562608394034
8,2017-08-09,37.33929,46.28257,19.91709,12.00263,26.34346,13.44884,18.12392,30.31638,25.83439,5.81803,25.28784,23.92315,36.41552,20.75301,29.22568,17.9407,41.11206,2.75685,21.8757,5.45371,7.38408,0.73203,0.02457,3.61042,13.60922,5.65554,52.44148,1.05421,1.83663,3.46167,0.48183,2.31548,7.67374,11.6898,9.99321,3.94956,2.30649,9.78293,15.69723,13.91128,38.02146,15.3022,28.07607,11.54992,15.25292,80.99827,8.68841,1.9666,40.22607,7.86415,4.38067,3.80251,4.43474,2.54497,0.96753,6.3413,0.70869,15.85716,23.21428,9.84444,9.27018,74.98287,30.18775,6.65996,9.02283,5.84532,8.95015,13.23556,4.93413,9.25326,7.32233,2.81981,7.11432,7.43418,3.19653,2.84319,7.11432,18.3138,16.89853,21.94858,13.30466,9.94014,28.86875,2.16174,18.32819,42.35101,21.37713,10.64452,23.5157,5.9134,15.03696,22.80607,8.49337,5.65245,10.82814,17.78633,2.92924,5.17409,11.2001,19.56158,21.69858,10.39914,28.36879,61.251612903225805,98.08741935483872,27.6,98.08741935483872,966.1477627471385
9,2017-08-10,34.19863,43.26133,18.26183,11.36745,24.60955,13.08995,19.88216,28.64963,26.12449,6.02389,24.56889,22.43,35.96687,20.68325,27.93874,18.31959,41.99362,2.53863,18.23145,4.97984,6.58271,0.77496,0.02828,3.22594,13.3709,5.31865,51.18522,0.97422,1.73195,3.37848,0.45473,3.82468,5.55984,11.01593,9.17854,3.43981,2.25708,8.59273,15.95593,13.49637,35.0478,14.35988,27.27258,11.76946,15.70188,83.39833,8.40032,1.70099,39.59698,6.80035,4.17571,3.63051,4.29431,2.49012,0.88191,6.30183,0.6811,15.69805,22.03467,9.14971,8.87171,72.43009,28.71719,6.31317,8.40509,5.60331,8.91063,12.20041,5.22364,9.35072,6.99301,2.6631,7.15403,7.30018,3.66043,3.00635,7.15403,20.44778,14.99958,20.25826,12.14281,9.81188,27.18154,1.80922,16.47064,40.22529,22.0522,10.43694,20.91456,6.16439,14.71079,21.57633,8.50976,5.21967,11.40431,19.22241,1.71248,5.18381,11.64505,24.55001,21.08928,10.52054,31.56028,61.25806451612903,98.09109677419356,24.8,98.09109677419356,967.1392646548734
